"","TITULO","VISITAS","GENERO"
"1","Boku no Hero Academia",588145,"s-AccióN-Aventura-Comedia-Drama-Ecchi-FantasíA-Magia-Romance-Shonen-Sobrenatural-"
"2","Nanatsu no Taizai",556197,"s-AccióN-Ecchi-FantasíA-"
"3","One Piece",508540,"s-Aventura-Josei-Romance-"
"4","Shokugeki no Soma",482849,"s-AccióN-Comedia-FantasíA-Escolar-Ciencia FiccióN-Shounen-"
"5","Star Martial God Technique",470169,"s-AccióN-Aventura-FantasíA-Shounen-Sobrenatural-"
"6","Berserk",377385,"s-Comedia-Drama-Escolar-Shounen-Vida Cotidiana-"
"7","Bleach",366738,"s-Demonios-Romance-FantasíA-"
"8","Tokyo Ghoul:re",364885,"s-AccióN-Aventura-FantasíA-Magia-Shonen-"
"9","Fairy Tail",335888,"s-AccióN-Artes Marciales-FantasíA-Aventura-"
"10","Tales of demons and gods",300030,"s-AccióN-Aventura-Comedia-Drama-FantasíA-Artes Marciales-Misterio-Shounen-Sobrenatural-"
"11","Chunqing Yatou Huolala",288752,"s-AccióN-Drama-Horror-Misterio-PsicolóGico- Seinen-Sobrenatural-Tragedia-"
"12","Tokyo Ghoul",269256,"s-AccióN-Aventura-Comedia-FantasíA-Shonen-"
"13","19 Days",238003,"s-AccióN-Ciencia FiccióN-Comedia-Seinen-Sobrenatural-"
"14","Dou Po Cang Qiong",224365,"s-AccióN-Aventura-Comedia-FantasíA-Magia-Sobrenatural-"
"15","Black Clover·",216662,"s-Horror-Yaoi-PsicolóGico-Romance-"
"16","Shingeki no Kyojin",210107,"s-Comedia-Drama-Ecchi-Harem-Romance-Shonen-Vida Escolar-"
"17","Shijiu Tian",202747,"s-AccióN-Aventura-Comedia-Ecchi-FantasíA-Harem-"
"18","One Punch-Man",182212,"s-AccióN-Aventura-Comedia-FantasíA-Romance-Harem-"
"19","Un Chico Como Tú",172531,"s-AccióN-Artes Marciales-Comedia-Shonen-Sobrenatural-Vida Escolar-"
"20","Girls of the Wilds",172466,"s-Drama-Romance-Webcomic-"
"21","Noblesse",158438,"s-Yaoi Soft-"
"22","Akatsuki no Yona",149178,"s- Comedia-Ecchi-FantasíA-Harem-Maduro-Romance-Seinen-"
"23","Prison School",141639,"s-AccióN-Aventura-FantasíA-Harem-Horror-Maduro-Magia-Seinen-Sobrenatural-"
"24","unORDINARY",133201,"s-Romance-Yaoi Soft-"
"25","The God of High School",131463,"s-Ecchi-Adulto-Adult-"
"26","Gantz",131209,"s-AccióN-Ecchi-Comedia-"
"27","Minamoto-kun Monogatari",129968,"s-Comedia-Ecchi-Harem-Romance-Seinen-"
"28","KILLING STALKING",127189,"s-Horror-Yaoi-PsicolóGico-Romance-"
"29","Kenichi el discipulo mas fuerte de la historia",126847,"s-Drama-Ecchi-Romance-Shounen-"
"30","A Partir De Tres Puntos",124348,"s-Yaoi Soft-Romance-Drama-"
