"","unlistTitulosgenero","Freq","unlistTitulostitulos","Freq","Var1","Freq"
"1","Género(s): AccióNAventuraComediaDramaFantasíAHaremMagiaRomanceSeinenShonen",1,"""ADONIS""",2,"1709",2
"2","Género(s): AventuraComediaFantasíARomanceVida Escolar",1,"(Serie) Yancha Gal no Anjo-san",1,"1710",1
"3","Género(s): Ciencia FiccióNComediaDramaRomanceShojo",1,"[Homunculus] Hajirai Break",1,"1712",1
"4","Género(s): ComediaEcchiFantasíAHaremMaduroRomanceSeinen",1,"[NaPaTa] Anata no Neko ni",1,"1715",1
"5","Género(s): DramaMaduroRomanceSobrenaturalYaoi",1,"[Yaoi]Konbini-Kun",1,"1716",1
"6","Género(s): RomanceShojoVida Escolar",1,"¿Mi Fragancia?",1,"1718",4
"7","Género(s): YaoiRomanceVida EscolarSobrenaturalReencarnacióNHarem",1,"¿Que tal si cenamos juntos?",1,"1719",1
"8","Género(s):4-KomaAccióNAventuraComediaEcchiFantasíA",1,"¿Qué tan dulce es un Sugar Daddy?",1,"1721",2
"9","Género(s):AccióN AventuraComediaFantasíARomanceHarem",1,"+ Tic Nee-san",1,"1722",2
"10","Género(s):AccióNAdventureComedia EcchiFantaciaSobrenaturalRomance",1,"07 Ghost",1,"1723",1
"11","Género(s):AccióNApocalíPticoComediaHorror",1,"100-man no Inochi no Ue ni Ore wa Tatte Iru",2,"1725",1
"12","Género(s):AccióNArtes MarcialesAventuraComedia",1,"12-ji kara Hajimaru",2,"1726",1
"13","Género(s):AccióNArtes MarcialesAventuraComediaDramaEcchiFantasíA",1,"12 Beast",1,"1728",4
"14","Género(s):AccióNArtes MarcialesAventuraComediaFantasíARealidad VirtualRomanceShonen ",1,"14-sai no Koi",3,"1729",2
"15","Género(s):AccióNArtes MarcialesAventuraComediaFantasíARecuentos De La VidaSeinenSobrenatural",2,"16 Life",2,"1730",3
"16","Género(s):AccióNArtes MarcialesAventuraComediaFantasíARomanceShonen",2,"19 dias",1,"1731",1
"17","Género(s):AccióNArtes MarcialesAventuraComediaMagia",1,"20th Century Boys",1,"1732",2
"18","Género(s):AccióNArtes MarcialesAventuraComediaShonen",2,"23:45",1,"1733",5
"19","Género(s):AccióNArtes MarcialesAventuraDramaHistóRicoMaduroSeinen",1,"24 jikan eigyouchuu",1,"1735",3
"20","Género(s):AccióNArtes MarcialesAventuraDramaShonenSuspense",1,"3-gatsu no Lion",1,"1736",1
"21","Género(s):AccióNArtes MarcialesAventuraFantasíA",1,"3-Manen no Kareshi",1,"1737",1
"22","Género(s):AccióNArtes MarcialesAventuraFantasíARomanceShonen",1,"3-pun Instant no Chinmoku",2,"1738",1
"23","Género(s):AccióNArtes MarcialesAventuraFantasíAShonen",3,"3 LDK no Ou-sama",1,"1743",2
"24","Género(s):AccióNArtes MarcialesAventuraShonenSobrenatural",1,"30 Días contigo",1,"1745",2
"25","Género(s):AccióNArtes MarcialesComediaDramaEcchiFantasíARomanceShonenSobrenaturalVida Escolar",1,"37ºC Spirits",1,"1746",2
"26","Género(s):AccióNArtes MarcialesComediaDramaEcchiFantasíARomanceShonenVida Escolar",1,"3D Kanojo",3,"1747",2
"27","Género(s):AccióNArtes MarcialesComediaEcchiFantasíAMagiaRomanceShonenVida Escolar",1,"4 Cut Hero",1,"1749",2
"28","Género(s):AccióNArtes MarcialesComediaFantasíAHaremRomanceShonenSobrenaturalVida Escolar",1,"5-ji kara 9-ji made",1,"1750",1
"29","Género(s):AccióNArtes MarcialesComediaParodia RomanceShonen",1,"50 Pixel Days",1,"1751",1
"30","Género(s):AccióNArtes MarcialesComediaShonenSobrenaturalVida Escolar",1,"A Kiss to my Prince",2,"1752",2
"31","Género(s):AccióNArtes MarcialesDeportesDramaPsicolóGicoRomanceSeinenSuspenseTragediaVida Escolar",1,"A neighbors cousin",1,"1753",1
"32","Género(s):AccióNArtes MarcialesDeportesSeinen",3,"A Paper Pet Marriage",1,"1754",1
"33","Género(s):AccióNArtes MarcialesDeportesShonenTragedia",1,"A Partir De Tres Puntos",3,"1755",3
"34","Género(s):AccióNArtes MarcialesDramaEcchiFantasíAHorror MisterioPsicolóGicoSobrenaturalTragedia",1,"A Young Girl's Dream",1,"1757",1
"35","Género(s):AccióNArtes MarcialesDramaEcchiFantasíAHorrorMisterioPsicolóGicoSobrenaturalTragedia",1,"Abarenbo honey",1,"1761",3
"36","Género(s):AccióNArtes MarcialesDramaEcchiSeinenShonen",2,"Abarenbou Kareshi",1,"1762",3
"37","Género(s):AccióNArtes MarcialesDramaHaremMagiaFantasíA",2,"Above The Cloud Sea",1,"1765",1
"38","Género(s):AccióNArtes MarcialesDramaHistóRicoSeinen",1,"Absolute Witch",2,"1768",1
"39","Género(s):AccióNArtes MarcialesDramaHistóRicoShonen",2,"Accel World",2,"1769",2
"40","Género(s):AccióNArtes MarcialesDramaPsicolóGico Shonen",1,"Act Age",1,"1770",1
"41","Género(s):AccióNArtes MarcialesDramaPsicolóGicoShonen",1,"Adamasu no Majotachi",1,"1773",1
"42","Género(s):AccióNArtes MarcialesDramaSobrenatural",1,"advent of snow white to hell",2,"1775",1
"43","Género(s):AccióNArtes MarcialesFantasíAAventura",1,"Aegis Orta",2,"1777",2
"44","Género(s):AccióNArtes MarcialesFantasíAAventuraSuper Poderes",1,"Aflame Inferno",1,"1779",3
"45","Género(s):AccióNArtes MarcialesFantasíAShonen",2,"After School Sex Slave Club",3,"1781",1
"46","Género(s):AccióNArtes MarcialesHaremReencarnacióNRomance",1,"Afuresou na Pool",1,"1782",1
"47","Género(s):AccióNArtes MarcialesHistóRicoShonen",1,"Against the Gods",1,"1783",1
